Source,Contributor,Genus,Species,Slide Number/Description,Aperio Filename,Stain,Accession Number,Processing,Comments,Date Collected,Date Received,Date Sent To Aperio,Sample,Infect/Non,Study,Collection Site,Histopathologic Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,lutea,30,Portis 30.svs,Steiner,2007Stain060,,"Porits S.dis. Bx
Steiner 1 2/22/07",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,lutea,35,Portis 35.svs,Bodian,2007Stain061,,"Porits S.dis. Bx
Bodian",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,lutea,40,Portis 40.svs,Movat,2007Stain062,,"Porits S.dis. Bx
Movat",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,lutea,45,Portis 45.svs,Schmorl,2007Stain063,,"Porits S. dis. Bx
Schmorl",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,lutea,50,Portis 50.svs,MGP,2007Stain064,,"Porits S. dis. A
MCP",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,lutea,55,Portis 55.svs,Gram Twort,2007Stain065,,"Porits S. dis. Bx
gram Twort",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,lutea,60,Portis 60.svs,B&B,2007Stain066,,"Porits S. dis. Bx
B&B",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,lutea,1,Porits H&E 01.svs,H&E,2007Stain067,,"Porits S. dis. Bx
H&E",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,lutea,2,Porits H&E 02.svs,Steiner ,2007Stain068,,"Porits S. dis. Bx
Steiner",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Montipora,aequituberculata,1,Montl 01.svs,H&E,2007Stain069,,"Montl Healthy 
A H&E ",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Montipora,aequituberculata,2,Montl 02.svs,Steiner,2007Stain070,,"Montl Healthy 
A Steiner",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Montipora,aequituberculata,8,Montl 08.svs,Movat,2007Stain071,,Mont aeq Healthy A Movat 3/1/07,,,2007-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,48 Acropora cervicornis T6,48Acropora.svs,H&E,T6,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,48 x15,48X15.svs,H&E,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,48 X 11,48X11.svs,Gram,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,49 T1-11,49T111.svs,H&E,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,49 X-6,49X6.svs,H&E,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,49 T1-4,49T14.svs,Gram,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,50 T1-12,50T112.svs,H&E,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,50 T2-12,50T212.svs,H&E,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,50 T1-1,50T11.svs,Gram,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,51 T1-10,51T110.svs,H&E,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,51 T1-4,51T14.svs,Gram,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
